Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
dark (154).png_scale,Dark,267.5567790354331,386.20571641143283,279.9076033464567,566.3190526381053,0.4426226256784718,0.3706143534024246,0.43471730908501577,0.36109618403526156,6.455647145669291,8.255936511873024,6.926550196850395,10.175832351664704,6.441770152753829,6.650684810073377,6.437433913642872,6.7441367993582695,0.005611858879967761,0.004520168070654203,0.005621832105480619,0.004297422755673833,0.07491234130614101,0.06723219519437248,0.07497887772886855,0.06555473099383319,0.9832022663221963,0.9758873720617648,0.9824285044856509,0.9646420770779364
dark (155).png,Dark,166.77774360236222,310.512679025358,156.67470472440945,279.9652179304358,0.46035372744562103,0.3804265443511227,0.4609624535383545,0.40973737458532955,5.621985728346457,8.408642817285633,5.616018700787401,7.291028582057162,6.37376260931293,6.637320214916171,6.3263703771592645,6.555357040526253,0.0066904676656033,0.0052100573542085745,0.0070046952227693525,0.00531700555000093,0.0817952789933704,0.07218072702743146,0.0836940572727201,0.07291779995310425,0.9874127771046306,0.9767338189378423,0.9881771244817033,0.9790226748215975
dark (155).png_flip_h,Dark,167.90360482283467,282.4523529047058,158.78949311023624,311.42997085994176,0.45916917806525337,0.4142254053964919,0.46481235029917134,0.3825480468945383,5.66283218503937,7.344534689069379,5.644562007874016,8.432884865769733,6.3708055673278015,6.547373834032108,6.311615655580894,6.626623898000997,0.006815548299065348,0.005495079562296269,0.007263440918483399,0.005419289033134456,0.08255633409415263,0.07412880386392505,0.08522582307307686,0.07361582053563252,0.987324717355797,0.9788306603861872,0.9880146267744729,0.9766588355478197
dark (155).png_flip_v,Dark,165.6525590551181,277.92175584351173,154.21899606299212,307.34862669725345,0.45556892396105575,0.4026686875910617,0.45746884811718364,0.3788159785109028,5.642101377952756,7.308574617149236,5.580831692913386,8.377952755905515,6.39346560739847,6.580324741542169,6.351531826123576,6.6519158344635105,0.0064645781757383825,0.005088129030495772,0.006673540996007772,0.005120303439193278,0.08040260055333026,0.07133112245363711,0.08169174374444318,0.0715562955944009,0.987482482680541,0.9791503871734205,0.9883481668689905,0.9769428056654026
dark (155).png_rot,Dark,363.7271161417323,640.4696509393018,378.1340428149607,674.9496558993118,0.6958309631376436,0.6712018315046762,0.6811975612073279,0.6717103549780562,6.443405511811024,8.005518011036022,6.933009350393702,8.171306342612684,3.844558053240923,4.007669584499022,3.8782961614957436,4.02585778153015,0.233462244573415,0.2248084806790235,0.230663242088203,0.22566517332179054,0.48317930892518046,0.474139726957174,0.48027413222887927,0.4750422858249469,0.9844681589403808,0.9727101206743235,0.9838531879591647,0.9712409563304278
dark (155).png_scale,Dark,166.77774360236222,310.512679025358,156.67470472440945,279.9652179304358,0.46035372744562103,0.3804265443511227,0.4609624535383545,0.40973737458532955,5.621985728346457,8.408642817285633,5.616018700787401,7.291028582057162,6.37376260931293,6.637320214916171,6.3263703771592645,6.555357040526253,0.0066904676656033,0.0052100573542085745,0.0070046952227693525,0.00531700555000093,0.0817952789933704,0.07218072702743146,0.0836940572727201,0.07291779995310425,0.9874127771046306,0.9767338189378423,0.9881771244817033,0.9790226748215975
dark (156).png,Dark,405.81588336614186,555.237088474177,234.4916953740158,607.4087048174098,0.4617366663303789,0.39015732188484437,0.4850515073023376,0.3803024933278608,7.317236712598426,9.198772397544795,5.42427411417323,9.42966085932172,6.12864215921869,6.344806038969686,6.004270572579275,6.387048713658313,0.006745020509083989,0.005409655930602084,0.00720201409885242,0.005146727200888218,0.08212807381817736,0.0735503632254939,0.0848646811038162,0.07174069417623598,0.965864304119372,0.9536021599653157,0.9802749388834754,0.9492424902680046
dark (156).png_flip_h,Dark,409.1604945866141,605.0063240126483,229.18620816929132,554.6301072602147,0.4589864672429201,0.3809316319105288,0.4842361915057888,0.3869621837913278,7.37666092519685,9.418004836009676,5.392531988188976,9.252216504433008,6.14002362067222,6.399610126530028,6.017217590698712,6.353690049076828,0.006460349346479943,0.004962085688322906,0.0069535670687552315,0.005127316845246872,0.08037629841240478,0.07044207328239925,0.08338805111498428,0.0716052850371177,0.9655834405966534,0.9494442269499019,0.9807215915926443,0.9536537839085245
dark (156).png_flip_v,Dark,397.4127706692913,592.5661851323702,230.1263533464567,551.207638415277,0.4572935736488959,0.3806580675871641,0.481575995748602,0.3868062399111547,7.263533464566929,9.305102610205221,5.4046505905511815,9.188666377332757,6.139605261551994,6.389342917065967,6.017563998037843,6.3594887615824955,0.006384417737097192,0.004902609160417031,0.006851129119738707,0.005100925757682629,0.07990255150555076,0.07001863437983513,0.08277154776696342,0.07142076559154648,0.9665668941302602,0.9504761539005445,0.9806397339628294,0.9539327327625641
dark (156).png_rot,Dark,681.603407972441,916.453468906938,652.5994709645669,1142.3109926219852,0.6884167907742251,0.6796445632529062,0.6926621155570565,0.665821709178062,7.516178641732283,8.015376030752062,7.37260088582677,9.729059458118916,3.761926537273233,3.857120153338119,3.7345651002888367,3.920955934139805,0.23409534666969728,0.2294636851658228,0.2346012943979013,0.2281493009882914,0.4838340073513821,0.4790236791285195,0.4843565777378287,0.4776497681233514,0.9716889352812002,0.9620015471100972,0.9728943125355702,0.9526369293025476
dark (156).png_scale,Dark,405.81588336614186,555.237088474177,234.4916953740158,607.4087048174098,0.4617366663303789,0.39015732188484437,0.4850515073023376,0.3803024933278608,7.317236712598426,9.198772397544795,5.42427411417323,9.42966085932172,6.12864215921869,6.344806038969686,6.004270572579275,6.387048713658313,0.006745020509083989,0.005409655930602084,0.00720201409885242,0.005146727200888218,0.08212807381817736,0.0735503632254939,0.0848646811038162,0.07174069417623598,0.965864304119372,0.9536021599653157,0.9802749388834754,0.9492424902680046
dark (157).png,Dark,353.09325787401576,662.6877053754108,348.92015255905517,715.4282348564697,0.4180947027045189,0.3504941665268348,0.4298779824267624,0.339946516288292,6.075787401574803,8.80252960505921,5.714074803149607,9.801971603943208,6.163850520021588,6.352386965747909,6.110283660692743,6.4348173204351955,0.0056628148534617374,0.004506963877837483,0.005812350797064877,0.004416692942754104,0.07525167674850666,0.0671339249399101,0.07623877489220873,0.06645820448036573,0.9727477166138414,0.9487821052762518,0.973068128167353,0.9447058882818452
dark (157).png_flip_h,Dark,352.2977362204724,715.4488188976378,351.1903297244095,664.464752929506,0.4182448359333333,0.34350410096361705,0.4304956997804751,0.35151198317495713,6.07074311023622,9.79490358980718,5.737696850393701,8.814929629859261,6.205800318071875,6.46223856445998,6.146240777522677,6.399171607429395,0.005528430795631123,0.0043578449113622145,0.005675467283551754,0.004362847897374139,0.07435341818390814,0.06601397512165295,0.0753356972726194,0.06605185763757246,0.9727917447674264,0.9446684638681934,0.9728740618645427,0.9486114806343804
dark (157).png_flip_v,Dark,355.00227608267716,716.0132060264121,346.9289493110236,661.6471572943146,0.4136082308656837,0.3383360581285452,0.4262249238471354,0.34641225831549954,6.109928641732284,9.827453654907309,5.729884350393701,8.813007626015251,6.178440748751711,6.43905740720294,6.1215897228478555,6.366199007492286,0.005497232063800065,0.004298105068403082,0.00564474346722131,0.004342047930174353,0.07414332110042055,0.06555993493287712,0.07513150781943159,0.06589421772943627,0.9725981407718968,0.9446607341864656,0.973221809322176,0.948862580181337
dark (157).png_rot,Dark,328.72619340551176,518.3114266228532,298.95263287401576,546.4031868063736,0.6773914158191073,0.6631911535674606,0.6832446305827561,0.6544397825063889,6.214259350393699,6.818463636927274,5.6889763779527565,7.290284580569162,3.775728750126159,3.9084954755272316,3.743536826390068,3.9513336022383605,0.22892695291005807,0.2232706458096902,0.23006950121566266,0.2221698293604288,0.4784631155168161,0.4725152334154849,0.47965560688442144,0.4713489464933902,0.9860521114317297,0.9780543328376096,0.9873154636205907,0.9768649081262738
dark (157).png_scale,Dark,353.09325787401576,662.6877053754108,348.92015255905517,715.4282348564697,0.4180947027045189,0.3504941665268348,0.4298779824267624,0.339946516288292,6.075787401574803,8.80252960505921,5.714074803149607,9.801971603943208,6.163850520021588,6.352386965747909,6.110283660692743,6.4348173204351955,0.0056628148534617374,0.004506963877837483,0.005812350797064877,0.004416692942754104,0.07525167674850666,0.0671339249399101,0.07623877489220873,0.06645820448036573,0.9727477166138414,0.9487821052762518,0.973068128167353,0.9447058882818452
dark (158).png,Dark,208.65766486220477,339.7015314030629,306.0977485236221,572.2015004030009,0.4527277597444259,0.3794824393109083,0.45007864030418787,0.3637047832255712,5.608575295275591,7.676111352222706,6.712906003937008,9.643251286502572,6.068332861574465,6.2938416146136476,6.102131654116121,6.39530942696232,0.006955232111147818,0.005604018958053415,0.0071583332253578585,0.005399219428856118,0.08339803421632801,0.07485999571235237,0.08460693367187974,0.07347938097763289,0.9802206104464345,0.9680230698093923,0.9709864190510378,0.9461372677164954
dark (158).png_flip_h,Dark,205.52780511811022,567.2914005828012,304.96758120078744,338.6554653109306,0.45075037166479437,0.3644768173798492,0.45006657779777276,0.3804806185516201,5.591658464566929,9.619381238762479,6.733821358267717,7.636803273606548,6.08236063838903,6.4138855774149865,6.11322259440378,6.314229152469061,0.006957682372395995,0.005372574636277054,0.007236586433622085,0.0056242961391620595,0.08341272308464695,0.07329784878341966,0.08506812818924656,0.07499530744761342,0.9805233588863901,0.9466154234925035,0.9711022654083472,0.9681310666127816
